Source_1,Target_1,Weight,Source,Target
226,240,1,Ohio Mutual Insurance Group        ,Catholic Mutual Group              
1301,2363,1,Atlantic Casualty Insurance Company,Eastern Mutual Insurance Company   
299,197,1,Mercer Insurance Group             ,Church Insurance Company           
252,1302,1,Mountain States Mutual Casualty Co ,General Star National Insurance Co 
313,4,1,Patrons Mutual Insurance Co of CT  ,FFIC - Fireman`s Fund Insurance Co 
2166,146,1,Crum and Forster Insurance Company ,Commonwealth Insurance Company     
26,4,185,Great American Insurance Company   ,FFIC - Fireman`s Fund Insurance Co 
26,2166,12,Great American Insurance Company   ,Crum and Forster Insurance Company 
54,331,275,Selective Insurance Group          ,Preferred Mutual Insurance Company 
54,53,3428,Selective Insurance Group          ,Harleysville Insurance Company     
53,402,632,Harleysville Insurance Company     ,Utica First Insurance Company      
384,82,111,Grinnell Mutual Reinsurance Co     ,GuideOne Insurance                 
1133,53,329,Aspen Specialty Insurance Company  ,Harleysville Insurance Company     
140,13,139,"Secura, A Mutual Co.               ",Erie Insurance Group               
1042,104,1351,Union Mutual Insurance Co.         ,Vermont Mutual Insurance Co        
77,96,3380,State Farm Fire & Casualty Co.     ,Nationwide Insurance Co            
174,36,183,E&S / Specialty                    ,Employers Mutual Casualty          
145,341,3161,Lexington Risk Specialists         ,American Home Assurance Co.        
120,27,278,Frankenmuth Mutual Insurance Co.   ,Allied Insurance                   
344,77,393,Farm Bureau Mutual Ins Co of Mich  ,State Farm Fire & Casualty Co.     
1073,1010,506,Grange Mutual Casualty Company     ,State Automobile Mutual Ins.       
396,96,863,"The Hanover Insurance Group, Inc.  ",Nationwide Insurance Co            
114,77,339,Merchants Insurance Group          ,State Farm Fire & Casualty Co.     
1010,26,66,State Automobile Mutual Ins.       ,Great American Insurance Company   
363,120,223,MMG Insurance Company              ,Frankenmuth Mutual Insurance Co.   
402,178,70,Utica First Insurance Company      ,Andover Insurance Company          
150,77,555,Motorists Insurance Companies      ,State Farm Fire & Casualty Co.     
1073,63,409,Grange Mutual Casualty Company     ,Westfield Companies                
54,1051,110,Selective Insurance Group          ,FCCI Insurance Company             
63,26,103,Westfield Companies                ,Great American Insurance Company   
1227,1073,110,Western Reserve Mutual Casualty    ,Grange Mutual Casualty Company     
1469,3615,102,"Munich Reinsurance America, Inc    ",Zurich Direct                      
1042,2363,547,Union Mutual Insurance Co.         ,Eastern Mutual Insurance Company   
2108,396,170,Mercury Insurance Company          ,"The Hanover Insurance Group, Inc.  "
53,1185,421,Harleysville Insurance Company     ,General Casualty WI (and/or Regent)
326,134,68,Praetorian Insurance Company       ,Federated Insurance Group          
1227,324,10,Western Reserve Mutual Casualty    ,Western Heritage Insurance Company 
1128,77,9,Mapfre Insurance Company of Florida,State Farm Fire & Casualty Co.     
150,226,96,Motorists Insurance Companies      ,Ohio Mutual Insurance Group        
13,174,102,Erie Insurance Group               ,E&S / Specialty                    
360,104,916,Magna Carta Companies              ,Vermont Mutual Insurance Co        
140,1010,258,"Secura, A Mutual Co.               ",State Automobile Mutual Ins.       
96,118,57,Nationwide Insurance Co            ,West Bend Mutual Insurance Company 
399,63,32,Western National Insurance Group   ,Westfield Companies                
51,150,187,Penn National Insurance Company    ,Motorists Insurance Companies      
134,1072,24,Federated Insurance Group          ,AXIS Insurance Company             
1395,1157,175,Catlin Specialty Insurance Company ,Tower Insurance Company of NY      
402,1302,9,Utica First Insurance Company      ,General Star National Insurance Co 
350,399,40,Unigard Insurance Company          ,Western National Insurance Group   
13,26,179,Erie Insurance Group               ,Great American Insurance Company   
1326,66,17,Contractors Bonding and Ins Company,Central Mutual Insurance Co.       
36,145,228,Employers Mutual Casualty          ,Lexington Risk Specialists         
54,2079,44,Selective Insurance Group          ,MAG Mutual Insurance Company       
4,145,202,FFIC - Fireman`s Fund Insurance Co ,Lexington Risk Specialists         
26,36,166,Great American Insurance Company   ,Employers Mutual Casualty          
487,1372,15,Mapfre USA                         ,Guard Insurance Group              
1278,77,30,Standard Mutual Insurance Company  ,State Farm Fire & Casualty Co.     
111,51,419,Donegal Mutual Insurance Company   ,Penn National Insurance Company    
140,63,98,"Secura, A Mutual Co.               ",Westfield Companies                
1469,2190,73,"Munich Reinsurance America, Inc    ",AmTrust Group                      
1326,116,45,Contractors Bonding and Ins Company,Pekin Insurance Company            
145,82,173,Lexington Risk Specialists         ,GuideOne Insurance                 
1073,13,666,Grange Mutual Casualty Company     ,Erie Insurance Group               
2108,77,305,Mercury Insurance Company          ,State Farm Fire & Casualty Co.     
114,396,424,Merchants Insurance Group          ,"The Hanover Insurance Group, Inc.  "
178,1073,3,Andover Insurance Company          ,Grange Mutual Casualty Company     
2108,1036,20,Mercury Insurance Company          ,Everest National Insurance Company 
2190,1219,102,AmTrust Group                      ,IAT Group                          
26,1157,43,Great American Insurance Company   ,Tower Insurance Company of NY      
226,96,44,Ohio Mutual Insurance Group        ,Nationwide Insurance Co            
63,174,64,Westfield Companies                ,E&S / Specialty                    
174,1157,22,E&S / Specialty                    ,Tower Insurance Company of NY      
1372,54,154,Guard Insurance Group              ,Selective Insurance Group          
344,396,155,Farm Bureau Mutual Ins Co of Mich  ,"The Hanover Insurance Group, Inc.  "
3615,1469,52,Zurich Direct                      ,"Munich Reinsurance America, Inc    "
210,53,40,Mutual Benefit Insurance Company   ,Harleysville Insurance Company     
66,1302,5,Central Mutual Insurance Co.       ,General Star National Insurance Co 
363,418,182,MMG Insurance Company              ,Concord General Mutual Insurance Co
427,350,42,Oregon Mutual Insurance Co         ,Unigard Insurance Company          
1010,2242,41,State Automobile Mutual Ins.       ,Western World Insurance Group      
1154,120,119,Michigan Insurance Company         ,Frankenmuth Mutual Insurance Co.   
1033,331,1,Florida Municipal Insurance Trust  ,Preferred Mutual Insurance Company 
381,402,31,Arbella Protection Ins Co          ,Utica First Insurance Company      
1010,174,74,State Automobile Mutual Ins.       ,E&S / Specialty                    
331,402,94,Preferred Mutual Insurance Company ,Utica First Insurance Company      
53,116,58,Harleysville Insurance Company     ,Pekin Insurance Company            
1218,326,5,Colony Insurance Company           ,Praetorian Insurance Company       
406,1185,6,Mitsui Sumitomo Ins Co of America  ,General Casualty WI (and/or Regent)
1374,1184,4,American European Insurance Company,Argonaut Group                     
66,2106,2,Central Mutual Insurance Co.       ,Maxum Indemnity Company            
90,2190,143,Allstate Insurance Company         ,AmTrust Group                      
282,51,6,Farm Family Insurance Companies    ,Penn National Insurance Company    
2344,174,60,Houston Casualty Company           ,E&S / Specialty                    
1185,1227,18,General Casualty WI (and/or Regent),Western Reserve Mutual Casualty    
13,2242,68,Erie Insurance Group               ,Western World Insurance Group      
114,2049,6,Merchants Insurance Group          ,Farmers Fire Insurance Company     
313,120,3,Patrons Mutual Insurance Co of CT  ,Frankenmuth Mutual Insurance Co.   
116,1227,63,Pekin Insurance Company            ,Western Reserve Mutual Casualty    
140,2294,10,"Secura, A Mutual Co.               ",Conifer Insurance Company          
1219,90,11,IAT Group                          ,Allstate Insurance Company         
2190,1469,119,AmTrust Group                      ,"Munich Reinsurance America, Inc    "
1185,178,60,General Casualty WI (and/or Regent),Andover Insurance Company          
54,381,61,Selective Insurance Group          ,Arbella Protection Ins Co          
1073,2294,22,Grange Mutual Casualty Company     ,Conifer Insurance Company          
341,111,7,American Home Assurance Co.        ,Donegal Mutual Insurance Company   
51,114,124,Penn National Insurance Company    ,Merchants Insurance Group          
1144,2190,1,Pacific Property and Casualty Co   ,AmTrust Group                      
53,66,282,Harleysville Insurance Company     ,Central Mutual Insurance Co.       
1301,66,2,Atlantic Casualty Insurance Company,Central Mutual Insurance Co.       
114,226,86,Merchants Insurance Group          ,Ohio Mutual Insurance Group        
150,396,193,Motorists Insurance Companies      ,"The Hanover Insurance Group, Inc.  "
53,254,19,Harleysville Insurance Company     ,Princeton Insurance Company        
90,1469,39,Allstate Insurance Company         ,"Munich Reinsurance America, Inc    "
63,1395,17,Westfield Companies                ,Catlin Specialty Insurance Company 
331,66,32,Preferred Mutual Insurance Company ,Central Mutual Insurance Co.       
2119,174,70,Lloyd`s Brit                       ,E&S / Specialty                    
2190,90,67,AmTrust Group                      ,Allstate Insurance Company         
1469,1294,5,"Munich Reinsurance America, Inc    ",National Fire and Casualty Company 
1294,1469,5,National Fire and Casualty Company ,"Munich Reinsurance America, Inc    "
1302,1073,4,General Star National Insurance Co ,Grange Mutual Casualty Company     
1372,210,3,Guard Insurance Group              ,Mutual Benefit Insurance Company   
174,4,45,E&S / Specialty                    ,FFIC - Fireman`s Fund Insurance Co 
293,27,2,ALFA Alliance Insurance Corporation,Allied Insurance                   
169,51,35,Capitol Indemnity Corporation      ,Penn National Insurance Company    
1219,2190,74,IAT Group                          ,AmTrust Group                      
1133,381,37,Aspen Specialty Insurance Company  ,Arbella Protection Ins Co          
36,384,125,Employers Mutual Casualty          ,Grinnell Mutual Reinsurance Co     
324,13,15,Western Heritage Insurance Company ,Erie Insurance Group               
190,1010,6,PMA Group                          ,State Automobile Mutual Ins.       
54,406,11,Selective Insurance Group          ,Mitsui Sumitomo Ins Co of America  
27,2455,32,Allied Insurance                   ,Inter Hannover                     
146,174,31,Commonwealth Insurance Company     ,E&S / Specialty                    
339,2179,3,RLI Insurance Company              ,BITCO Insurance Company            
313,1374,11,Patrons Mutual Insurance Co of CT  ,American European Insurance Company
1072,1133,2,AXIS Insurance Company             ,Aspen Specialty Insurance Company  
313,418,46,Patrons Mutual Insurance Co of CT  ,Concord General Mutual Insurance Co
13,1345,7,Erie Insurance Group               ,Kingstone Insurance Company EBHO   
181,402,17,HDI Global Insurance Company       ,Utica First Insurance Company      
341,382,4,American Home Assurance Co.        ,Hudson Insurance Company           
54,306,41,Selective Insurance Group          ,Farmland-Nationwide Agribusiness   
54,1301,7,Selective Insurance Group          ,Atlantic Casualty Insurance Company
368,27,64,Jewelers Mutual Insurance Co       ,Allied Insurance                   
1301,402,16,Atlantic Casualty Insurance Company,Utica First Insurance Company      
178,190,5,Andover Insurance Company          ,PMA Group                          
66,178,16,Central Mutual Insurance Co.       ,Andover Insurance Company          
1326,427,34,Contractors Bonding and Ins Company,Oregon Mutual Insurance Co         
1279,1374,20,White Pine (formerly Mid Continent),American European Insurance Company
2402,1372,15,American Resources Insurance Co Inc,Guard Insurance Group              
331,1185,32,Preferred Mutual Insurance Company ,General Casualty WI (and/or Regent)
66,1227,31,Central Mutual Insurance Co.       ,Western Reserve Mutual Casualty    
312,1372,61,Acuity                             ,Guard Insurance Group              
1185,1302,15,General Casualty WI (and/or Regent),General Star National Insurance Co 
2443,331,6,United Methodist Insurance Company ,Preferred Mutual Insurance Company 
1372,1133,42,Guard Insurance Group              ,Aspen Specialty Insurance Company  
13,1395,14,Erie Insurance Group               ,Catlin Specialty Insurance Company 
54,2179,13,Selective Insurance Group          ,BITCO Insurance Company            
1361,96,3,American Safety Insurance Company  ,Nationwide Insurance Co            
324,2119,20,Western Heritage Insurance Company ,Lloyd`s Brit                       
341,169,7,American Home Assurance Co.        ,Capitol Indemnity Corporation      
120,1184,11,Frankenmuth Mutual Insurance Co.   ,Argonaut Group                     
104,326,7,Vermont Mutual Insurance Co        ,Praetorian Insurance Company       
141,1100,1,New Hampshire Insurance Company    ,Austin Mutual Insurance Group      
27,3605,1,Allied Insurance                   ,Berkshire Hathaway Direct Insurance
381,1185,10,Arbella Protection Ins Co          ,General Casualty WI (and/or Regent)
82,169,49,GuideOne Insurance                 ,Capitol Indemnity Corporation      
181,66,4,HDI Global Insurance Company       ,Central Mutual Insurance Co.       
2318,53,30,Starr Indemnity and Liability Co   ,Harleysville Insurance Company     
1423,63,9,"XL Insurance America, Inc.         ",Westfield Companies                
1395,36,37,Catlin Specialty Insurance Company ,Employers Mutual Casualty          
96,1042,66,Nationwide Insurance Co            ,Union Mutual Insurance Co.         
1010,1395,13,State Automobile Mutual Ins.       ,Catlin Specialty Insurance Company 
1128,3499,16,Mapfre Insurance Company of Florida,Hamilton Specialty Insurance Co.   
141,312,6,New Hampshire Insurance Company    ,Acuity                             
190,63,6,PMA Group                          ,Westfield Companies                
2083,77,12,Schools Insurance Assoc of WA -SIAW,State Farm Fire & Casualty Co.     
1469,90,5,"Munich Reinsurance America, Inc    ",Allstate Insurance Company         
1072,54,32,AXIS Insurance Company             ,Selective Insurance Group          
381,66,21,Arbella Protection Ins Co          ,Central Mutual Insurance Co.       
419,77,12,Imperium Insurance Company         ,State Farm Fire & Casualty Co.     
331,254,8,Preferred Mutual Insurance Company ,Princeton Insurance Company        
2318,331,17,Starr Indemnity and Liability Co   ,Preferred Mutual Insurance Company 
1157,145,41,Tower Insurance Company of NY      ,Lexington Risk Specialists         
134,1372,88,Federated Insurance Group          ,Guard Insurance Group              
145,416,3,Lexington Risk Specialists         ,Fremont Insurance Company          
2459,169,22,QBE Insurance Corporation          ,Capitol Indemnity Corporation      
399,1010,29,Western National Insurance Group   ,State Automobile Mutual Ins.       
2079,66,4,MAG Mutual Insurance Company       ,Central Mutual Insurance Co.       
462,1372,5,IMT Insurance Company              ,Guard Insurance Group              
96,1117,4,Nationwide Insurance Co            ,Trident Insurance Services         
1266,282,31,United Farm Family - EB HO & HSP   ,Farm Family Insurance Companies    
419,396,10,Imperium Insurance Company         ,"The Hanover Insurance Group, Inc.  "
1179,368,5,Republic Underwriters Insurance Co ,Jewelers Mutual Insurance Co       
306,427,6,Farmland-Nationwide Agribusiness   ,Oregon Mutual Insurance Co         
2038,82,12,WRM America Indemnity Company      ,GuideOne Insurance                 
54,181,1,Selective Insurance Group          ,HDI Global Insurance Company       
1129,120,29,OneBeacon                          ,Frankenmuth Mutual Insurance Co.   
382,2651,5,Hudson Insurance Company           ,Endurance American Specialty Ins Co
324,2294,23,Western Heritage Insurance Company ,Conifer Insurance Company          
324,1010,8,Western Heritage Insurance Company ,State Automobile Mutual Ins.       
317,1157,3,Regis Insurance Company            ,Tower Insurance Company of NY      
1326,1185,15,Contractors Bonding and Ins Company,General Casualty WI (and/or Regent)
299,1010,6,Mercer Insurance Group             ,State Automobile Mutual Ins.       
2106,190,1,Maxum Indemnity Company            ,PMA Group                          
402,1227,5,Utica First Insurance Company      ,Western Reserve Mutual Casualty    
252,90,2,Mountain States Mutual Casualty Co ,Allstate Insurance Company         
1302,299,1,General Star National Insurance Co ,Mercer Insurance Group             
326,312,3,Praetorian Insurance Company       ,Acuity                             
1372,4018,5,Guard Insurance Group              ,Atain Specialty Insurance Company  
1133,331,1,Aspen Specialty Insurance Company  ,Preferred Mutual Insurance Company 
2212,51,9,Dealers Choice Mutual Insurance Inc,Penn National Insurance Company    
141,134,2,New Hampshire Insurance Company    ,Federated Insurance Group          
197,1374,1,Church Insurance Company           ,American European Insurance Company
313,318,11,Patrons Mutual Insurance Co of CT  ,Safety Insurance Company           
339,1326,2,RLI Insurance Company              ,Contractors Bonding and Ins Company
1185,350,25,General Casualty WI (and/or Regent),Unigard Insurance Company          
120,383,6,Frankenmuth Mutual Insurance Co.   ,Badger Mutual Insurance Co         
318,1434,1,Safety Insurance Company           ,SPARTA Insurance                   
1129,318,2,OneBeacon                          ,Safety Insurance Company           
1345,1157,8,Kingstone Insurance Company EBHO   ,Tower Insurance Company of NY      
1036,96,6,Everest National Insurance Company ,Nationwide Insurance Co            
1051,1185,14,FCCI Insurance Company             ,General Casualty WI (and/or Regent)
399,13,10,Western National Insurance Group   ,Erie Insurance Group               
1469,1219,4,"Munich Reinsurance America, Inc    ",IAT Group                          
1423,1010,7,"XL Insurance America, Inc.         ",State Automobile Mutual Ins.       
1196,2242,7,American Hallmark Insurance Co     ,Western World Insurance Group      
169,2651,35,Capitol Indemnity Corporation      ,Endurance American Specialty Ins Co
252,1469,1,Mountain States Mutual Casualty Co ,"Munich Reinsurance America, Inc    "
1325,1372,3,Co-Operative Insurance Companies   ,Guard Insurance Group              
339,53,12,RLI Insurance Company              ,Harleysville Insurance Company     
368,1184,3,Jewelers Mutual Insurance Co       ,Argonaut Group                     
2049,96,12,Farmers Fire Insurance Company     ,Nationwide Insurance Co            
190,13,12,PMA Group                          ,Erie Insurance Group               
178,299,5,Andover Insurance Company          ,Mercer Insurance Group             
178,3373,1,Andover Insurance Company          ,Lloyd`s Axis Syndicate 2007        
416,169,3,Fremont Insurance Company          ,Capitol Indemnity Corporation      
90,1219,11,Allstate Insurance Company         ,IAT Group                          
96,360,15,Nationwide Insurance Co            ,Magna Carta Companies              
1129,1374,3,OneBeacon                          ,American European Insurance Company
2294,26,5,Conifer Insurance Company          ,Great American Insurance Company   
1026,402,1,American National P&C Ins Group    ,Utica First Insurance Company      
306,1185,6,Farmland-Nationwide Agribusiness   ,General Casualty WI (and/or Regent)
146,26,7,Commonwealth Insurance Company     ,Great American Insurance Company   
2242,36,19,Western World Insurance Group      ,Employers Mutual Casualty          
2294,174,29,Conifer Insurance Company          ,E&S / Specialty                    
1196,26,3,American Hallmark Insurance Co     ,Great American Insurance Company   
310,1218,1,Sequoia Insurance Company          ,Colony Insurance Company           
1133,181,8,Aspen Specialty Insurance Company  ,HDI Global Insurance Company       
312,1072,7,Acuity                             ,AXIS Insurance Company             
2653,3384,17,Lloyd`s QBE Syndicate 1886         ,Lloyd`s Advent Syndicate 780       
2058,396,4,"Canopius US Insurance, Inc (Omega) ","The Hanover Insurance Group, Inc.  "
2119,2242,29,Lloyd`s Brit                       ,Western World Insurance Group      
256,402,3,Great American Custom Insurance    ,Utica First Insurance Company      
1128,396,7,Mapfre Insurance Company of Florida,"The Hanover Insurance Group, Inc.  "
1185,2106,8,General Casualty WI (and/or Regent),Maxum Indemnity Company            
140,2344,1,"Secura, A Mutual Co.               ",Houston Casualty Company           
1026,1185,3,American National P&C Ins Group    ,General Casualty WI (and/or Regent)
2455,363,3,Inter Hannover                     ,MMG Insurance Company              
114,1036,7,Merchants Insurance Group          ,Everest National Insurance Company 
63,2242,7,Westfield Companies                ,Western World Insurance Group      
144,51,7,Peninsula Insurance Company        ,Penn National Insurance Company    
90,3615,2,Allstate Insurance Company         ,Zurich Direct                      
111,2651,3,Donegal Mutual Insurance Company   ,Endurance American Specialty Ins Co
54,1026,5,Selective Insurance Group          ,American National P&C Ins Group    
324,63,5,Western Heritage Insurance Company ,Westfield Companies                
1366,111,1,Alterra                            ,Donegal Mutual Insurance Company   
1395,4,9,Catlin Specialty Insurance Company ,FFIC - Fireman`s Fund Insurance Co 
2058,77,19,"Canopius US Insurance, Inc (Omega) ",State Farm Fire & Casualty Co.     
299,13,8,Mercer Insurance Group             ,Erie Insurance Group               
66,350,7,Central Mutual Insurance Co.       ,Unigard Insurance Company          
1196,174,9,American Hallmark Insurance Co     ,E&S / Specialty                    
2119,26,10,Lloyd`s Brit                       ,Great American Insurance Company   
2455,2110,4,Inter Hannover                     ,Munich Re - Surplus                
36,2038,5,Employers Mutual Casualty          ,WRM America Indemnity Company      
26,1182,2,Great American Insurance Company   ,Financial Pacific Insurance Co     
1110,350,8,Alaska National Insurance Company  ,Unigard Insurance Company          
1301,116,1,Atlantic Casualty Insurance Company,Pekin Insurance Company            
1051,116,3,FCCI Insurance Company             ,Pekin Insurance Company            
1152,140,4,National Farmers Union Insurance Co,"Secura, A Mutual Co.               "
399,2344,1,Western National Insurance Group   ,Houston Casualty Company           
1026,66,4,American National P&C Ins Group    ,Central Mutual Insurance Co.       
1129,368,11,OneBeacon                          ,Jewelers Mutual Insurance Co       
317,36,1,Regis Insurance Company            ,Employers Mutual Casualty          
254,178,2,Princeton Insurance Company        ,Andover Insurance Company          
77,2082,1,State Farm Fire & Casualty Co.     ,Cities Insurance Assoc of WA-CIAW  
336,26,6,SAFER - N. Calif Regional Liability,Great American Insurance Company   
1026,116,5,American National P&C Ins Group    ,Pekin Insurance Company            
416,111,3,Fremont Insurance Company          ,Donegal Mutual Insurance Company   
1098,13,13,Stonington Insurance Company       ,Erie Insurance Group               
363,368,2,MMG Insurance Company              ,Jewelers Mutual Insurance Co       
306,116,3,Farmland-Nationwide Agribusiness   ,Pekin Insurance Company            
114,1361,1,Merchants Insurance Group          ,American Safety Insurance Company  
2083,396,1,Schools Insurance Assoc of WA -SIAW,"The Hanover Insurance Group, Inc.  "
2294,2242,2,Conifer Insurance Company          ,Western World Insurance Group      
350,324,3,Unigard Insurance Company          ,Western Heritage Insurance Company 
197,293,1,Church Insurance Company           ,ALFA Alliance Insurance Corporation
116,178,16,Pekin Insurance Company            ,Andover Insurance Company          
140,1071,1,"Secura, A Mutual Co.               ",Praetorian Insurance Company - NY  
2190,3615,2,AmTrust Group                      ,Zurich Direct                      
1051,66,11,FCCI Insurance Company             ,Central Mutual Insurance Co.       
2309,169,1,Affordable Housing Risk Pool       ,Capitol Indemnity Corporation      
360,1218,5,Magna Carta Companies              ,Colony Insurance Company           
1278,396,3,Standard Mutual Insurance Company  ,"The Hanover Insurance Group, Inc.  "
181,427,1,HDI Global Insurance Company       ,Oregon Mutual Insurance Co         
1333,53,2,The Dentists Insurance Company     ,Harleysville Insurance Company     
2242,4,8,Western World Insurance Group      ,FFIC - Fireman`s Fund Insurance Co 
1033,1051,2,Florida Municipal Insurance Trust  ,FCCI Insurance Company             
120,1434,4,Frankenmuth Mutual Insurance Co.   ,SPARTA Insurance                   
350,140,5,Unigard Insurance Company          ,"Secura, A Mutual Co.               "
350,1423,4,Unigard Insurance Company          ,"XL Insurance America, Inc.         "
370,145,1,Rockford Mutual Insurance Company  ,Lexington Risk Specialists         
4,384,4,FFIC - Fireman`s Fund Insurance Co ,Grinnell Mutual Reinsurance Co     
174,2166,1,E&S / Specialty                    ,Crum and Forster Insurance Company 
2459,111,3,QBE Insurance Corporation          ,Donegal Mutual Insurance Company   
2106,399,1,Maxum Indemnity Company            ,Western National Insurance Group   
200,1036,1,Penn-America Insurance Co          ,Everest National Insurance Company 
1117,2363,3,Trident Insurance Services         ,Eastern Mutual Insurance Company   
427,1302,7,Oregon Mutual Insurance Co         ,General Star National Insurance Co 
1372,2318,3,Guard Insurance Group              ,Starr Indemnity and Liability Co   
2166,145,2,Crum and Forster Insurance Company ,Lexington Risk Specialists         
339,1026,1,RLI Insurance Company              ,American National P&C Ins Group    
1266,111,4,United Farm Family - EB HO & HSP   ,Donegal Mutual Insurance Company   
402,2106,4,Utica First Insurance Company      ,Maxum Indemnity Company            
26,370,1,Great American Insurance Company   ,Rockford Mutual Insurance Company  
150,2049,8,Motorists Insurance Companies      ,Farmers Fire Insurance Company     
1218,141,1,Colony Insurance Company           ,New Hampshire Insurance Company    
250,396,1,Meadowbrook Insurance Group        ,"The Hanover Insurance Group, Inc.  "
2106,324,1,Maxum Indemnity Company            ,Western Heritage Insurance Company 
1301,1185,1,Atlantic Casualty Insurance Company,General Casualty WI (and/or Regent)
2651,344,1,Endurance American Specialty Ins Co,Farm Bureau Mutual Ins Co of Mich  
1302,324,6,General Star National Insurance Co ,Western Heritage Insurance Company 
197,368,1,Church Insurance Company           ,Jewelers Mutual Insurance Co       
145,1366,10,Lexington Risk Specialists         ,Alterra                            
3170,2230,1,Samsung Fire & Marine Insurance Co ,ProSight Specialty Insurance       
140,2119,6,"Secura, A Mutual Co.               ",Lloyd`s Brit                       
361,174,4,Colorado Farm Bureau Mutual Ins. Co,E&S / Specialty                    
341,282,3,American Home Assurance Co.        ,Farm Family Insurance Companies    
82,2187,1,GuideOne Insurance                 ,Kinsale Insurance Company          
427,2106,1,Oregon Mutual Insurance Co         ,Maxum Indemnity Company            
2242,1157,2,Western World Insurance Group      ,Tower Insurance Company of NY      
1026,427,1,American National P&C Ins Group    ,Oregon Mutual Insurance Co         
384,341,1,Grinnell Mutual Reinsurance Co     ,American Home Assurance Co.        
368,383,1,Jewelers Mutual Insurance Co       ,Badger Mutual Insurance Co         
1374,27,3,American European Insurance Company,Allied Insurance                   
240,1010,1,Catholic Mutual Group              ,State Automobile Mutual Ins.       
134,3971,2,Federated Insurance Group          ,Tower Hill Prime Insurance Group   
2058,3499,1,"Canopius US Insurance, Inc (Omega) ",Hamilton Specialty Insurance Co.   
190,2119,2,PMA Group                          ,Lloyd`s Brit                       
339,1051,2,RLI Insurance Company              ,FCCI Insurance Company             
240,13,1,Catholic Mutual Group              ,Erie Insurance Group               
82,111,1,GuideOne Insurance                 ,Donegal Mutual Insurance Company   
174,370,1,E&S / Specialty                    ,Rockford Mutual Insurance Company  
36,2653,5,Employers Mutual Casualty          ,Lloyd`s QBE Syndicate 1886         
1395,1182,1,Catlin Specialty Insurance Company ,Financial Pacific Insurance Co     
370,384,4,Rockford Mutual Insurance Company  ,Grinnell Mutual Reinsurance Co     
306,66,1,Farmland-Nationwide Agribusiness   ,Central Mutual Insurance Co.       
326,1100,1,Praetorian Insurance Company       ,Austin Mutual Insurance Group      
2119,1395,1,Lloyd`s Brit                       ,Catlin Specialty Insurance Company 
339,406,1,RLI Insurance Company              ,Mitsui Sumitomo Ins Co of America  
1423,13,3,"XL Insurance America, Inc.         ",Erie Insurance Group               
1073,146,3,Grange Mutual Casualty Company     ,Commonwealth Insurance Company     
1216,111,2,Loudoun Mutual Insurance Company   ,Donegal Mutual Insurance Company   
2344,2242,2,Houston Casualty Company           ,Western World Insurance Group      
1098,63,1,Stonington Insurance Company       ,Westfield Companies                
2318,181,1,Starr Indemnity and Liability Co   ,HDI Global Insurance Company       
339,331,2,RLI Insurance Company              ,Preferred Mutual Insurance Company 
2119,1345,1,Lloyd`s Brit                       ,Kingstone Insurance Company EBHO   
324,2344,2,Western Heritage Insurance Company ,Houston Casualty Company           
1133,1051,1,Aspen Specialty Insurance Company  ,FCCI Insurance Company             
140,361,1,"Secura, A Mutual Co.               ",Colorado Farm Bureau Mutual Ins. Co
1144,90,1,Pacific Property and Casualty Co   ,Allstate Insurance Company         
1073,2119,3,Grange Mutual Casualty Company     ,Lloyd`s Brit                       
382,51,1,Hudson Insurance Company           ,Penn National Insurance Company    
339,306,1,RLI Insurance Company              ,Farmland-Nationwide Agribusiness   
299,2294,1,Mercer Insurance Group             ,Conifer Insurance Company          
197,120,1,Church Insurance Company           ,Frankenmuth Mutual Insurance Co.   
2039,2110,1,Ironshore                          ,Munich Re - Surplus                
1133,256,1,Aspen Specialty Insurance Company  ,Great American Custom Insurance    
2402,1072,1,American Resources Insurance Co Inc,AXIS Insurance Company             
336,1395,4,SAFER - N. Calif Regional Liability,Catlin Specialty Insurance Company 
2443,53,1,United Methodist Insurance Company ,Harleysville Insurance Company     
2079,1185,1,MAG Mutual Insurance Company       ,General Casualty WI (and/or Regent)
13,317,2,Erie Insurance Group               ,Regis Insurance Company            
363,1374,1,MMG Insurance Company              ,American European Insurance Company
1184,2230,1,Argonaut Group                     ,ProSight Specialty Insurance       
3499,96,1,Hamilton Specialty Insurance Co.   ,Nationwide Insurance Co            
1302,3373,1,General Star National Insurance Co ,Lloyd`s Axis Syndicate 2007        
1301,427,1,Atlantic Casualty Insurance Company,Oregon Mutual Insurance Co         
3615,2190,2,Zurich Direct                      ,AmTrust Group                      
145,2459,1,Lexington Risk Specialists         ,QBE Insurance Corporation          
178,140,1,Andover Insurance Company          ,"Secura, A Mutual Co.               "
299,63,1,Mercer Insurance Group             ,Westfield Companies                
1133,1301,1,Aspen Specialty Insurance Company  ,Atlantic Casualty Insurance Company
2651,2058,1,Endurance American Specialty Ins Co,"Canopius US Insurance, Inc (Omega) "
2339,312,1,Markel Insurance Company           ,Acuity                             
1098,1010,1,Stonington Insurance Company       ,State Automobile Mutual Ins.       
1129,293,1,OneBeacon                          ,ALFA Alliance Insurance Corporation
120,207,3,Frankenmuth Mutual Insurance Co.   ,First Nonprofit Insurance Co.      
1302,140,1,General Star National Insurance Co ,"Secura, A Mutual Co.               "
2318,1301,1,Starr Indemnity and Liability Co   ,Atlantic Casualty Insurance Company
